ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
250630,200404,3496,254175.0
250640,200404,653,49220.0
250650,200404,201,15350.0
250660,200404,515,38845.0
250670,200404,1382,102330.0
250680,200404,1336,100260.0
250690,200404,775,60220.0
250700,200404,1511,109600.0
250710,200404,1010,74240.0
250720,200404,833,65855.0
250730,200404,937,70470.0
250740,200404,500,39360.0
250750,200404,11848,802410.0
250760,200404,509,39650.0
250770,200404,695,54525.0
250780,200404,759,52765.0
250790,200404,151,12300.0
250800,200404,1140,85360.0
250810,200404,349,25945.0
250820,200404,589,41145.0
250830,200404,1507,112605.0
250840,200404,167,12340.0
250850,200404,781,56895.0
250855,200404,300,23445.0
250860,200404,296,22215.0
250870,200404,471,33070.0
250880,200404,437,31365.0
250890,200404,1391,101540.0
250900,200404,1023,79975.0
250905,200404,227,17980.0
250910,200404,894,66290.0
250915,200404,452,33135.0
250920,200404,1137,86535.0
250930,200404,349,27925.0
250933,200404,433,32805.0
250937,200404,264,18425.0
250939,200404,357,27755.0
250940,200404,827,63180.0
250950,200404,463,34630.0
250960,200404,381,30465.0
250970,200404,2397,177670.0
250980,200404,772,54650.0
250990,200404,292,23115.0
251000,200404,614,45360.0
251010,200404,473,37485.0
251020,200404,624,48925.0
251030,200404,356,25835.0
251040,200404,1071,76290.0
251050,200404,355,26350.0
251060,200404,117,8670.0
251065,200404,166,12215.0
251070,200404,356,24075.0
251080,200404,5066,367665.0
251090,200404,1145,78800.0
251100,200404,441,33095.0
251110,200404,500,37480.0
251120,200404,283,22340.0
251130,200404,1469,104250.0
251140,200404,1281,97500.0
251150,200404,1091,76675.0
251160,200404,668,50605.0
251170,200404,395,30410.0
251180,200404,1054,76640.0
251190,200404,296,23305.0
251200,200404,1374,99840.0
251203,200404,485,35815.0
251207,200404,410,29495.0
251210,200404,730,57805.0
251220,200404,263,18905.0
251230,200404,1531,119795.0
251240,200404,1390,99365.0
251250,200404,1919,151595.0
251260,200404,211,15175.0
251270,200404,566,44830.0
251272,200404,221,16460.0
251274,200404,218,15445.0
251275,200404,405,28885.0
251276,200404,421,30295.0
251278,200404,130,10005.0
251280,200404,701,52270.0
251290,200404,1241,70400.0
251300,200404,368,26920.0
251310,200404,1035,71975.0
251315,200404,644,49605.0
251320,200404,325,22675.0
251330,200404,312,21995.0
251335,200404,336,26310.0
251340,200404,1086,78135.0
251350,200404,668,47510.0
251360,200404,710,50335.0
251365,200404,337,23150.0
251370,200404,4379,317485.0
251380,200404,427,33020.0
251385,200404,264,19310.0
251390,200404,1776,129330.0
251392,200404,242,15965.0
251394,200404,184,13970.0
251396,200404,190,13985.0
251398,200404,515,34260.0
251400,200404,383,27165.0
251410,200404,432,30330.0
251420,200404,455,33355.0
251430,200404,437,34450.0
251440,200404,378,27575.0
251445,200404,166,13230.0
